Result,model_param,Score,type,C,gamma,coef0,kernel
0.5603481012658228,16.0 / 0.125 / 0.0,Accuracy,train,16.0,0.125,0.0,sigmoid
0.886392405063291,16.0 / 0.00024 / 0.1,Accuracy,train,16.0,0.000244140625,0.1,sigmoid
0.8813924050632911,16.0 / 0.00049 / 0.1,Accuracy,train,16.0,0.00048828125,0.1,sigmoid
0.8788607594936708,16.0 / 0.00098 / 0.1,Accuracy,train,16.0,0.0009765625,0.1,sigmoid
0.7702215189873417,16.0 / 0.03125 / 0.1,Accuracy,train,16.0,0.03125,0.1,sigmoid
0.6208227848101265,16.0 / 0.0625 / 0.1,Accuracy,train,16.0,0.0625,0.1,sigmoid
0.5502531645569619,16.0 / 0.125 / 0.1,Accuracy,train,16.0,0.125,0.1,sigmoid
0.8813607594936709,16.0 / 0.00049 / 1.0,Accuracy,train,16.0,0.00048828125,1.0,sigmoid
0.8864556962025316,16.0 / 0.00098 / 1.0,Accuracy,train,16.0,0.0009765625,1.0,sigmoid
0.8763291139240506,16.0 / 0.00195 / 1.0,Accuracy,train,16.0,0.001953125,1.0,sigmoid
0.8713924050632912,16.0 / 0.00391 / 1.0,Accuracy,train,16.0,0.00390625,1.0,sigmoid
0.8436708860759493,16.0 / 0.00781 / 1.0,Accuracy,train,16.0,0.0078125,1.0,sigmoid
0.6665822784810127,16.0 / 0.03125 / 1.0,Accuracy,train,16.0,0.03125,1.0,sigmoid
0.547753164556962,16.0 / 0.0625 / 1.0,Accuracy,train,16.0,0.0625,1.0,sigmoid
0.5101265822784811,16.0 / 0.125 / 1.0,Accuracy,train,16.0,0.125,1.0,sigmoid
0.4849367088607595,16.0 / 0.25 / 1.0,Accuracy,train,16.0,0.25,1.0,sigmoid
0.886392405063291,32.0 / 0.00012 / 0.0,Accuracy,train,32.0,0.0001220703125,0.0,sigmoid
0.8813924050632911,32.0 / 0.00024 / 0.0,Accuracy,train,32.0,0.000244140625,0.0,sigmoid
0.8788607594936708,32.0 / 0.00049 / 0.0,Accuracy,train,32.0,0.00048828125,0.0,sigmoid
0.7422784810126583,32.0 / 0.03125 / 0.0,Accuracy,train,32.0,0.03125,0.0,sigmoid
0.6411075949367089,32.0 / 0.0625 / 0.0,Accuracy,train,32.0,0.0625,0.0,sigmoid
0.5628481012658227,32.0 / 0.125 / 0.0,Accuracy,train,32.0,0.125,0.0,sigmoid
0.886392405063291,32.0 / 0.00012 / 0.1,Accuracy,train,32.0,0.0001220703125,0.1,sigmoid
0.8813924050632911,32.0 / 0.00024 / 0.1,Accuracy,train,32.0,0.000244140625,0.1,sigmoid
0.8788607594936708,32.0 / 0.00049 / 0.1,Accuracy,train,32.0,0.00048828125,0.1,sigmoid
0.830886075949367,32.0 / 0.01562 / 0.1,Accuracy,train,32.0,0.015625,0.1,sigmoid
0.7524367088607595,32.0 / 0.03125 / 0.1,Accuracy,train,32.0,0.03125,0.1,sigmoid
0.6158860759493672,32.0 / 0.0625 / 0.1,Accuracy,train,32.0,0.0625,0.1,sigmoid
0.5527848101265822,32.0 / 0.125 / 0.1,Accuracy,train,32.0,0.125,0.1,sigmoid
0.8838924050632911,32.0 / 0.00024 / 1.0,Accuracy,train,32.0,0.000244140625,1.0,sigmoid
0.8864556962025316,32.0 / 0.00049 / 1.0,Accuracy,train,32.0,0.00048828125,1.0,sigmoid
0.8763291139240506,32.0 / 0.00098 / 1.0,Accuracy,train,32.0,0.0009765625,1.0,sigmoid
0.873892405063291,32.0 / 0.00195 / 1.0,Accuracy,train,32.0,0.001953125,1.0,sigmoid
0.8512658227848101,32.0 / 0.00391 / 1.0,Accuracy,train,32.0,0.00390625,1.0,sigmoid
0.7248101265822784,32.0 / 0.01562 / 1.0,Accuracy,train,32.0,0.015625,1.0,sigmoid
0.6716455696202532,32.0 / 0.03125 / 1.0,Accuracy,train,32.0,0.03125,1.0,sigmoid
0.5401898734177215,32.0 / 0.0625 / 1.0,Accuracy,train,32.0,0.0625,1.0,sigmoid
0.5101265822784811,32.0 / 0.125 / 1.0,Accuracy,train,32.0,0.125,1.0,sigmoid
0.510253164556962,32.0 / 0.25 / 1.0,Accuracy,train,32.0,0.25,1.0,sigmoid
0.886392405063291,64.0 / 6e-05 / 0.0,Accuracy,train,64.0,6.103515625e-05,0.0,sigmoid
0.8813924050632911,64.0 / 0.00012 / 0.0,Accuracy,train,64.0,0.0001220703125,0.0,sigmoid
0.8788607594936708,64.0 / 0.00024 / 0.0,Accuracy,train,64.0,0.000244140625,0.0,sigmoid
0.8662341772151899,64.0 / 0.01562 / 0.0,Accuracy,train,64.0,0.015625,0.0,sigmoid
0.7547784810126581,64.0 / 0.03125 / 0.0,Accuracy,train,64.0,0.03125,0.0,sigmoid
0.658639240506329,64.0 / 0.0625 / 0.0,Accuracy,train,64.0,0.0625,0.0,sigmoid
0.565379746835443,64.0 / 0.125 / 0.0,Accuracy,train,64.0,0.125,0.0,sigmoid
0.886392405063291,64.0 / 6e-05 / 0.1,Accuracy,train,64.0,6.103515625e-05,0.1,sigmoid
0.8813924050632911,64.0 / 0.00012 / 0.1,Accuracy,train,64.0,0.0001220703125,0.1,sigmoid
0.8788607594936708,64.0 / 0.00024 / 0.1,Accuracy,train,64.0,0.000244140625,0.1,sigmoid
0.765,64.0 / 0.03125 / 0.1,Accuracy,train,64.0,0.03125,0.1,sigmoid
0.6283860759493671,64.0 / 0.0625 / 0.1,Accuracy,train,64.0,0.0625,0.1,sigmoid
0.5528164556962025,64.0 / 0.125 / 0.1,Accuracy,train,64.0,0.125,0.1,sigmoid
0.8838924050632911,64.0 / 0.00012 / 1.0,Accuracy,train,64.0,0.0001220703125,1.0,sigmoid
0.8864556962025316,64.0 / 0.00024 / 1.0,Accuracy,train,64.0,0.000244140625,1.0,sigmoid
0.8763291139240506,64.0 / 0.00049 / 1.0,Accuracy,train,64.0,0.00048828125,1.0,sigmoid
0.873892405063291,64.0 / 0.00098 / 1.0,Accuracy,train,64.0,0.0009765625,1.0,sigmoid
0.8512658227848101,64.0 / 0.00195 / 1.0,Accuracy,train,64.0,0.001953125,1.0,sigmoid
0.7449367088607595,64.0 / 0.01562 / 1.0,Accuracy,train,64.0,0.015625,1.0,sigmoid
0.6412658227848101,64.0 / 0.03125 / 1.0,Accuracy,train,64.0,0.03125,1.0,sigmoid
0.5250949367088608,64.0 / 0.0625 / 1.0,Accuracy,train,64.0,0.0625,1.0,sigmoid
0.5101265822784811,64.0 / 0.125 / 1.0,Accuracy,train,64.0,0.125,1.0,sigmoid
0.4773417721518987,64.0 / 0.25 / 1.0,Accuracy,train,64.0,0.25,1.0,sigmoid
0.886392405063291,128.0 / 3e-05 / 0.0,Accuracy,train,128.0,3.0517578125e-05,0.0,sigmoid
0.8813924050632911,128.0 / 6e-05 / 0.0,Accuracy,train,128.0,6.103515625e-05,0.0,sigmoid
0.8788607594936708,128.0 / 0.00012 / 0.0,Accuracy,train,128.0,0.0001220703125,0.0,sigmoid
0.8914240506329115,128.0 / 0.01562 / 0.0,Accuracy,train,128.0,0.015625,0.0,sigmoid
0.7749683544303798,128.0 / 0.03125 / 0.0,Accuracy,train,128.0,0.03125,0.0,sigmoid
0.658639240506329,128.0 / 0.0625 / 0.0,Accuracy,train,128.0,0.0625,0.0,sigmoid
0.565379746835443,128.0 / 0.125 / 0.0,Accuracy,train,128.0,0.125,0.0,sigmoid
0.886392405063291,128.0 / 3e-05 / 0.1,Accuracy,train,128.0,3.0517578125e-05,0.1,sigmoid
0.8813924050632911,128.0 / 6e-05 / 0.1,Accuracy,train,128.0,6.103515625e-05,0.1,sigmoid
0.8788607594936708,128.0 / 0.00012 / 0.1,Accuracy,train,128.0,0.0001220703125,0.1,sigmoid
0.8737341772151899,128.0 / 0.01562 / 0.1,Accuracy,train,128.0,0.015625,0.1,sigmoid
0.742120253164557,128.0 / 0.03125 / 0.1,Accuracy,train,128.0,0.03125,0.1,sigmoid
0.6233860759493671,128.0 / 0.0625 / 0.1,Accuracy,train,128.0,0.0625,0.1,sigmoid
0.5528164556962025,128.0 / 0.125 / 0.1,Accuracy,train,128.0,0.125,0.1,sigmoid
0.5527848101265822,128.0 / 0.25 / 0.1,Accuracy,train,128.0,0.25,0.1,sigmoid
0.8838924050632911,128.0 / 6e-05 / 1.0,Accuracy,train,128.0,6.103515625e-05,1.0,sigmoid
0.8864556962025316,128.0 / 0.00012 / 1.0,Accuracy,train,128.0,0.0001220703125,1.0,sigmoid
0.8763291139240506,128.0 / 0.00024 / 1.0,Accuracy,train,128.0,0.000244140625,1.0,sigmoid
